CO,Name,Value
31,Alta-Dutch Flat Union Elementary,1578499.03
31,Auburn Union Elementary,22713446.58
31,Colfax Elementary,5435308.79
31,Dry Creek Joint Elementary,82285024.09
31,Eureka Union Elementary,41397597.02
31,Foresthill Union Elementary,6670398.38
31,Loomis Union Elementary,28116037.04
31,Newcastle Elementary,3320856.33
31,Placer Hills Union Elementary,10167208.65
31,Placer Union High,60005788.73
31,Roseville City Elementary,148803012.9
31,Roseville Joint Union High,156117281.6
31,Tahoe-Truckee Unified,85124905.86
31,Western Placer Unified,103158421.3
31,Rocklin Unified,158836093.7
32,Plumas Unified,34485833.18
33,Alvord Unified,298435354
33,Banning Unified,76488949.11
33,Beaumont Unified,174095423.8
33,Corona-Norco Unified,737924084.2
33,Desert Center Unified,1935201.64
33,Desert Sands Unified,403215014.1
33,Hemet Unified,365339112.1
33,Jurupa Unified,348689299.2
33,Menifee Union Elementary,152485241.8
33,Moreno Valley Unified,550732571.7
33,Nuview Union Elementary,24825351.47
33,Palm Springs Unified,398921287.5
33,Palo Verde Unified,46215101.31
33,Perris Elementary,78798588.08
33,Perris Union High,178293662.3
33,Riverside Unified,631837059.9
33,Romoland Elementary,62439488.68
33,San Jacinto Unified,179349601.7
33,Coachella Valley Unified,327321186.6
33,Lake Elsinore Unified,311646311.1
33,Temecula Valley Unified,356858848.6
33,Murrieta Valley Unified,309076805.9
33,Val Verde Unified,331453847.1
34,Arcohe Union Elementary,6276862.82
34,Elk Grove Unified,939047576.2
34,Elverta Joint Elementary,3250236.68
34,Folsom-Cordova Unified,289063648.2
34,Galt Joint Union Elementary,52057896.94
34,Galt Joint Union High,31270059.94
34,River Delta Joint Unified,28908464.91
34,Robla Elementary,32931120.51
34,Sacramento City Unified,603995985.3
34,San Juan Unified,571694867.2
34,Center Joint Unified,66391198.84
34,Natomas Unified,164667611
34,Twin Rivers Unified,430563815.8
35,Bitterwater-Tully Elementary,402756.04
35,Cienega Union Elementary,390011.73
35,Hollister Elementary,77910068.97
35,Jefferson Elementary,203799.42
35,North County Joint Union Elementary,8791150.01
35,Panoche Elementary,219974.26
35,San Benito High,48022123.61
35,Southside Elementary,2015876.72
35,Tres Pinos Union Elementary,747249.89
35,Willow Grove Union Elementary,474915.13
35,Aromas - San Juan Unified,14493715.62
36,Adelanto Elementary,131918316.3
36,Alta Loma Elementary,77711928.24
36,Barstow Unified,89139119.6
36,Bear Valley Unified,32400356
